[2026-04-04 19:46:10] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/animaux/index.php
[2026-04-04 19:47:29] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/profil/view.php)
[2026-04-04 19:47:34] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/profil/view.php)
[2026-04-04 19:47:46] IP: 172.20.0.1 | USER: 123 | STATUS: FAILED (Wrong credentials)
[2026-04-04 19:47:56] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-04 19:48:51] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/animaux/index.php
[2026-04-04 19:49:01] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/animaux/index.php
[2026-04-04 19:50:42] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/animaux/index.php
[2026-04-04 19:51:19] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-04 20:06:13] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/soins/index.php)
[2026-04-04 20:06:18] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/soins/index.php)
[2026-04-04 20:06:41] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/soins/index.php)
[2026-04-04 20:07:47] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/dashboard.php)
[2026-04-04 20:20:12] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/alimentation/index.php)
[2026-04-04 20:21:12] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/alimentation/index.php)
[2026-04-04 20:21:17] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/alimentation/index.php)
[2026-04-04 20:21:32] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-04 20:21:36] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/alimentation/index.php)
[2026-04-04 20:50:01] IP: 172.20.0.1 | USER: dzqdzqdqz | STATUS: INVALID FORMAT (Regex match fails)
[2026-04-04 20:50:05] IP: 172.20.0.1 | USER: 123 | STATUS: FAILED (Wrong credentials)
[2026-04-04 20:50:09] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-04 21:07:29] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-04 21:35:31] IP: 172.20.0.1 | USER: ANONYMOUS | STATUS: ACCES REFUSE: Non authentifié vers /public_html/dashboard.php
[2026-04-04 21:35:44] IP: 172.20.0.1 | USER: 1235 | STATUS: FAILED (Wrong credentials)
[2026-04-04 21:36:29] IP: 172.20.0.1 | USER: 1235 | STATUS: FAILED (Wrong credentials)
[2026-04-04 21:37:09] IP: 172.20.0.1 | USER: 1234 | STATUS: FAILED (Wrong credentials)
[2026-04-04 21:39:46] IP: 172.20.0.1 | USER: 1235 | STATUS: SUCCESS
[2026-04-04 21:41:33] IP: 172.20.0.1 | USER: test2 | STATUS: ACCES REFUSE 403: Role veterinaire vers /public_html/home/personnel/view.php
[2026-04-04 21:59:06] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-05 15:36:24] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-05 15:38:38] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE: Page inconnue (/public_html/home/boutiques/ajouter.php)
[2026-04-05 15:46:34] IP: 172.20.0.1 | USER: ANONYMOUS | STATUS: ACCES REFUSE: Non authentifié vers /public_html/dashboard.php
[2026-04-05 15:46:39] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
[2026-04-05 15:46:51] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/home/particularites/ajouter.php
[2026-04-05 15:47:05] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/home/animaux/view.php
[2026-04-05 15:47:26] IP: 172.20.0.1 | USER: test | STATUS: ACCES REFUSE 403: Role technique vers /public_html/home/animaux/view.php
[2026-04-05 15:50:36] IP: 172.20.0.1 | USER: 999 | STATUS: SUCCESS
